Integration Time,25
Timestamp,2019-03-04 08_37_33.457000
Note,
Temperature,10.00
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100
Laser Temperature,0.00
Pixel Count,1024

Pixel,Wavelength,Wavenumber,2019-03-04 08:37:33 Toluene 10x25ms Spectrum,2019-03-04 08:37:51 Cyclohexane 10x25ms Spectrum,2019-03-04 08:38:24 Benzene 10x10ms Spectrum,2019-03-04 08:39:05 BMSB 10x5ms Spectrum,2019-03-04 08:39:49 Caffeine 10x50ms Spectrum,2019-03-04 08:40:06 AmmoniumNitrate 10x50ms Spectrum,2019-03-04 08:40:25 Isopropanol 10x50ms Spectrum,2019-03-04 08:40:43 Acetaminophen 10x50ms Spectrum,2019-03-04 08:41:02 Acetone 10x50ms Spectrum,2019-03-04 08:41:36 CoconutOil 10x100ms Spectrum,2019-03-04 08:41:51 Methanol 10x100ms Spectrum,2019-03-04 08:42:09 MineralOil 10x100ms Spectrum,2019-03-04 08:43:30 Fructose 10x300ms Spectrum,2019-03-04 08:43:50 Sugar 10x300ms Spectrum,2019-03-04 08:44:24 Sucrose 10x300ms Spectrum,2019-03-04 08:44:45 AmmoniumChloride 10x300ms Spectrum,2019-03-04 08:46:11 GlucoseSolution 10x1000ms Spectrum
266,838.72,815.98,697.70,808.80,80.40,424.20,1044.30,118.60,17640.50,6908.40,973.60,6989.10,112.10,4055.50,18909.80,6108.20,1338.50,1306.60,3931.20
267,838.86,817.92,549.40,646.60,78.20,418.20,1017.70,119.40,19227.60,7043.90,885.60,7211.60,95.60,4114.20,19469.90,6120.70,1374.00,1288.70,3934.50
268,839.00,819.86,429.80,538.40,77.90,403.00,1015.90,122.50,18708.00,7255.50,822.80,7440.60,117.70,4176.50,18411.20,6182.60,1419.40,1311.30,3916.10
269,839.13,821.80,326.10,450.60,87.90,413.40,1009.50,122.20,16158.30,7414.90,756.70,7658.70,117.10,4218.70,15783.00,6280.50,1455.80,1273.00,3931.10
270,839.27,823.73,277.80,391.10,86.70,455.40,998.60,128.00,12376.40,7632.00,714.40,7888.40,97.50,4275.50,12499.50,6349.50,1516.70,1265.40,3951.60
271,839.41,825.67,251.50,349.90,100.50,532.00,995.30,120.70,8418.60,7839.20,667.90,8143.10,108.80,4314.10,9490.00,6457.80,1610.90,1283.90,3971.60
272,839.54,827.60,241.80,315.20,105.10,611.40,974.60,116.20,5284.40,8132.90,624.10,8346.00,104.20,4344.70,7103.50,6598.40,1706.30,1268.30,3983.00
273,839.68,829.53,244.50,282.90,112.50,722.60,984.00,124.50,3308.30,8515.40,608.30,8557.20,108.40,4373.20,5532.90,6761.50,1809.30,1273.60,4051.60
274,839.81,831.47,251.60,256.20,123.00,856.50,982.80,123.10,2187.50,8892.20,583.70,8761.80,100.90,4422.80,4580.40,7010.80,2007.70,1265.90,4133.70
275,839.95,833.40,271.70,239.80,134.80,1067.60,988.00,123.10,1712.10,8921.60,562.20,8938.50,103.40,4462.10,4050.90,7476.10,2336.30,1254.70,4245.80
276,840.09,835.33,292.30,222.60,146.90,1279.00,993.40,123.20,1236.10,8951.20,540.40,9115.80,105.70,4501.90,3520.90,7942.00,2665.10,1243.20,4358.00
277,840.22,837.26,329.80,205.50,173.10,1556.10,998.50,118.00,1007.00,8627.00,517.40,9249.10,104.50,4565.60,3221.70,8913.30,3333.00,1242.00,4464.20
278,840.36,839.18,359.00,194.70,190.20,1720.30,998.40,119.00,850.00,8154.80,490.80,9339.80,99.80,4591.00,3059.70,10531.10,4463.00,1246.00,4613.90
279,840.50,841.11,366.40,187.80,226.70,1784.30,1004.40,120.30,742.20,7789.60,486.40,9382.70,104.20,4615.60,2922.80,13026.20,6193.60,1235.10,4803.80
280,840.63,843.04,370.80,191.70,268.50,1678.60,1008.40,120.10,658.60,7776.90,464.30,9434.10,103.90,4674.20,2881.00,16493.20,8653.90,1251.40,4927.80
281,840.77,844.96,343.60,197.20,299.00,1450.80,1029.60,124.10,605.40,8183.40,450.90,9381.60,97.60,4644.40,2875.20,20155.50,11244.70,1232.60,4962.80
282,840.90,846.89,310.40,210.00,319.50,1254.40,1040.00,116.80,538.00,9205.50,441.60,9255.30,91.60,4590.40,2892.70,22825.00,13190.00,1228.10,4981.70
283,841.04,848.81,272.60,211.30,339.40,1174.70,1060.70,119.90,512.90,11117.40,443.90,9179.70,113.80,4542.00,2969.80,23867.90,13943.10,1232.50,4904.00
284,841.18,850.73,226.40,214.10,331.00,1241.50,1079.50,119.90,476.50,14071.30,432.80,9095.50,105.40,4455.60,3119.60,22917.00,13325.40,1231.40,4868.30
285,841.31,852.65,197.10,217.70,300.40,1375.40,1105.30,129.10,454.90,17817.50,446.60,9000.10,102.80,4377.20,3363.20,20311.30,11422.60,1237.90,4863.70
286,841.45,854.57,173.00,201.00,274.40,1468.70,1142.10,116.70,436.00,21202.70,438.00,8965.60,99.80,4273.10,3730.60,16692.10,8913.70,1218.10,4799.70
287,841.58,856.49,149.20,169.60,226.10,1456.30,1182.60,120.80,425.50,23231.70,443.60,8955.90,93.80,4197.10,4289.30,13379.40,6572.00,1232.40,4730.10
288,841.72,858.41,132.30,147.50,192.40,1344.50,1201.80,122.70,382.60,23360.90,438.40,9029.00,105.70,4159.80,5182.70,11043.20,4928.80,1227.50,4726.00
289,841.86,860.33,129.10,138.30,152.50,1184.10,1230.10,126.00,375.60,21515.90,468.60,9164.80,111.00,4144.30,6477.70,9793.20,4039.10,1235.40,4651.40
290,841.99,862.24,124.40,123.60,126.90,1013.70,1241.10,132.00,354.60,18060.40,469.20,9324.80,95.20,4117.20,8228.90,9286.30,3726.20,1229.60,4566.20
291,842.13,864.16,120.20,116.70,118.70,871.70,1243.10,124.30,347.60,14349.50,470.60,9530.40,98.90,4135.90,10747.40,9345.90,3790.00,1231.10,4487.50
292,842.26,866.07,115.30,107.70,97.70,747.90,1240.70,116.30,328.70,11133.90,473.70,9672.10,88.50,4127.60,13640.20,9596.20,3987.70,1206.00,4398.60
293,842.40,867.99,108.90,100.60,90.60,668.90,1221.90,139.80,311.20,8957.40,492.00,9809.10,86.10,4131.10,16686.00,9826.70,4219.10,1202.40,4254.90
294,842.53,869.90,106.30,96.90,74.80,618.40,1185.60,122.70,291.10,7587.00,479.40,9915.40,114.00,4094.00,18934.30,10071.50,4419.30,1221.50,4110.40
295,842.67,871.81,106.00,90.70,70.80,597.30,1185.20,129.40,289.60,6817.10,493.90,10003.50,102.60,4067.80,19630.30,10073.90,4476.00,1217.30,3975.60
296,842.81,873.72,105.50,81.70,72.00,632.00,1166.40,135.00,290.30,6334.20,494.30,9965.40,108.80,4018.60,18608.80,9892.60,4358.20,1225.60,3843.90
297,842.94,875.63,112.80,82.50,65.50,734.30,1147.40,132.50,280.90,6030.70,495.60,9904.70,99.60,3933.30,16063.20,9538.30,4079.80,1219.90,3829.10
298,843.08,877.54,110.20,74.80,65.50,856.60,1130.10,143.30,285.30,5851.30,510.60,9826.10,116.00,3869.30,12660.10,9007.10,3711.50,1241.30,3765.40
299,843.21,879.44,115.20,78.90,58.30,957.90,1118.10,142.00,279.30,5715.50,512.20,9753.40,102.00,3790.20,9279.90,8402.50,3220.10,1242.50,3673.20
300,843.35,881.35,116.50,77.30,61.70,994.80,1101.60,140.50,288.20,5627.60,526.60,9747.30,119.00,3807.00,6655.50,7863.30,2798.90,1256.50,3706.50
301,843.48,883.26,139.40,75.90,59.10,961.80,1091.60,136.80,285.60,5532.50,543.20,9803.10,109.60,3797.00,4895.60,7333.70,2383.80,1234.80,3822.40
302,843.62,885.16,151.40,83.50,53.80,845.20,1110.10,141.30,287.70,5518.00,561.40,9878.40,108.90,3845.30,3856.30,7000.10,2113.50,1257.80,3901.80
303,843.75,887.06,169.60,71.80,55.80,689.50,1111.70,139.10,301.20,5493.40,588.50,9981.40,116.80,3909.80,3236.90,6758.90,1934.20,1246.50,4085.90
304,843.89,888.97,195.50,74.00,56.20,569.70,1114.00,140.90,304.80,5456.80,602.90,10012.30,127.20,3996.10,2848.30,6609.10,1826.80,1256.00,4252.40
305,844.03,890.87,216.30,82.20,54.00,462.40,1113.00,147.90,306.10,5445.40,632.70,10012.70,117.40,4034.20,2617.80,6552.20,1775.90,1265.40,4527.40
306,844.16,892.77,250.50,88.90,53.00,402.10,1113.20,144.80,309.40,5432.40,672.80,9962.20,130.50,3999.50,2437.80,6539.40,1761.60,1244.50,4805.90
307,844.30,894.67,252.40,78.70,59.20,348.40,1103.90,142.90,323.80,5413.70,709.00,9830.20,122.80,3954.30,2323.60,6624.30,1793.40,1255.90,4998.40
308,844.43,896.57,255.70,102.20,56.00,330.00,1113.50,140.50,333.40,5426.20,737.10,9624.10,135.50,3851.70,2258.20,6718.90,1905.70,1256.80,5142.40
309,844.57,898.46,233.00,99.90,56.90,313.90,1095.60,133.90,350.40,5430.00,756.70,9390.90,143.20,3709.80,2202.00,7003.10,2040.60,1250.80,5269.50
310,844.70,900.36,214.10,100.90,57.60,319.80,1099.40,148.90,376.50,5439.50,785.40,9117.40,139.00,3579.20,2128.10,7348.20,2318.20,1238.80,5241.20
311,844.84,902.26,185.00,111.30,55.30,312.60,1096.40,145.10,397.40,5450.70,776.00,8882.70,162.50,3424.00,2141.80,7941.30,2727.10,1243.50,5231.30
312,844.97,904.15,160.50,106.30,56.90,313.40,1105.70,147.80,432.70,5461.40,778.70,8611.40,150.50,3315.40,2157.70,8729.60,3278.70,1284.70,5165.40
313,845.11,906.04,143.70,109.20,62.20,319.30,1099.50,143.60,461.40,5457.40,748.70,8424.00,152.10,3215.80,2201.40,9546.20,3856.60,1267.90,5146.70
314,845.24,907.94,134.30,93.00,57.90,316.00,1120.50,153.00,502.70,5487.40,736.40,8273.10,161.30,3157.00,2269.40,10309.10,4386.40,1286.30,5128.90
315,845.38,909.83,127.20,90.10,57.40,315.20,1139.00,148.70,565.00,5492.40,697.30,8241.00,157.60,3103.90,2363.00,10893.70,4810.20,1249.90,5110.50
316,845.51,911.72,116.30,88.60,66.10,319.70,1181.10,151.00,636.30,5508.60,668.70,8219.20,168.90,3070.00,2595.40,11348.90,5135.80,1272.90,5179.20
317,845.65,913.61,116.90,82.70,61.80,318.40,1231.50,144.70,704.60,5483.70,621.60,8246.80,169.70,3028.20,2975.20,11689.10,5341.70,1240.60,5196.60
318,845.78,915.50,115.10,73.40,68.40,325.00,1388.70,153.10,797.60,5478.80,592.80,8260.70,179.00,2992.70,3592.10,12044.30,5586.80,1257.50,5271.00
319,845.92,917.38,115.40,62.70,69.10,316.20,1648.10,139.40,883.50,5496.80,551.60,8379.60,182.40,2949.50,4668.40,12465.80,5825.90,1254.70,5236.90
320,846.05,919.27,114.20,61.30,71.90,312.80,2053.40,159.40,971.50,5474.20,536.60,8360.40,177.10,2896.40,6043.80,12681.30,5966.50,1275.30,5133.30
321,846.19,921.16,117.20,58.80,67.00,315.10,2612.80,148.20,1052.70,5467.80,495.90,8318.70,197.00,2877.20,7471.20,12624.80,5901.90,1235.30,4975.20
322,846.32,923.04,119.20,55.50,71.00,318.30,3232.80,153.30,1151.30,5478.60,469.40,8288.30,210.00,2848.30,8513.90,12194.30,5580.50,1253.00,4722.10
323,846.46,924.92,125.10,55.90,75.00,327.30,3744.40,141.70,1275.90,5466.70,445.60,8190.30,210.80,2857.20,8856.60,11361.60,5028.50,1247.50,4450.30
324,846.59,926.81,135.30,49.50,80.80,326.00,4010.50,142.70,1429.40,5472.30,413.00,8070.20,219.70,2843.30,8346.50,10342.90,4338.20,1249.20,4203.10
325,846.73,928.69,139.00,52.40,83.30,334.00,3928.50,146.90,1623.10,5456.50,400.00,7901.70,217.00,2846.20,7202.20,9304.60,3633.20,1233.90,3905.60
326,846.86,930.57,147.40,54.40,81.20,347.20,3566.40,155.50,1852.00,5472.80,382.10,7841.40,225.70,2872.70,5758.20,8639.90,3179.70,1252.00,3691.80
327,847.00,932.45,144.60,47.30,89.70,358.90,2989.70,152.10,2062.00,5456.00,359.70,7656.70,245.20,2878.00,4362.40,8236.70,2912.60,1231.50,3387.70
328,847.13,934.33,154.60,48.60,89.30,384.20,2391.00,151.40,2227.00,5467.00,339.90,7578.20,248.30,2898.50,3396.40,8311.80,2952.20,1236.70,3235.20
329,847.27,936.20,142.20,49.10,98.20,427.40,1901.80,146.60,2357.80,5460.90,329.60,7419.50,252.80,2894.80,2778.00,8731.00,3236.00,1220.30,3162.70
330,847.40,938.08,136.10,45.10,101.20,494.20,1587.80,151.50,2467.90,5454.70,321.20,7266.50,254.40,2872.10,2444.10,9304.40,3611.10,1224.20,3019.30
331,847.54,939.96,141.50,40.40,105.50,607.90,1388.30,149.80,2543.60,5465.20,311.00,7158.90,274.50,2864.00,2236.90,9754.70,3955.30,1217.40,2929.70
332,847.67,941.83,145.40,51.90,112.70,792.60,1281.00,157.80,2689.90,5545.40,291.40,7044.70,287.30,2835.70,2129.50,10061.70,4129.60,1218.10,2877.60
333,847.81,943.71,162.20,51.40,119.60,1034.70,1216.30,155.50,2880.80,5578.80,292.60,6952.80,297.50,2858.40,2078.40,9939.20,4085.70,1224.90,2796.50
334,847.94,945.58,151.50,50.50,127.80,1300.40,1176.30,150.70,3142.90,5650.20,278.70,6851.90,299.60,2881.10,2023.10,9478.70,3746.30,1222.30,2784.90
335,848.08,947.45,152.40,39.30,136.40,1489.50,1149.90,161.70,3443.60,5674.90,271.80,6793.70,322.20,2918.80,2017.60,8786.20,3307.00,1236.90,2784.10
336,848.21,949.32,171.70,48.00,139.40,1536.90,1128.60,157.40,3674.80,5681.60,259.30,6722.70,325.90,2985.50,1999.50,8040.00,2780.60,1253.20,2703.40
337,848.34,951.19,187.00,53.30,149.80,1436.50,1118.70,160.00,3815.70,5667.40,252.40,6684.00,344.00,3018.80,1997.40,7409.80,2330.30,1240.90,2696.70
338,848.48,953.06,192.10,57.30,166.30,1217.80,1112.90,161.30,3737.20,5643.70,242.00,6629.20,355.30,3040.50,2008.10,6891.50,1993.40,1215.60,2698.40
339,848.61,954.93,216.50,61.80,180.40,958.60,1115.20,163.30,3489.60,5636.80,242.10,6594.90,371.20,3063.90,2056.00,6615.30,1804.30,1247.10,2648.80
340,848.75,956.79,240.30,63.10,209.20,765.30,1126.50,167.20,3065.30,5694.50,240.30,6611.60,385.00,3061.20,2089.40,6422.90,1676.30,1252.70,2632.40
341,848.88,958.66,269.20,68.10,230.10,721.40,1140.60,159.80,2570.20,5889.60,233.30,6580.40,395.80,3030.50,2143.40,6280.40,1579.50,1239.40,2621.00
342,849.02,960.52,312.00,73.90,264.50,852.50,1166.40,160.70,2073.20,6262.50,231.80,6556.70,415.30,3014.50,2281.70,6229.30,1548.60,1245.10,2627.00
343,849.15,962.39,358.60,82.70,302.80,1150.20,1233.50,160.10,1641.50,6833.70,229.60,6518.40,444.00,3008.70,2469.80,6197.60,1522.60,1265.20,2654.80
344,849.29,964.25,397.90,82.10,355.00,1496.60,1295.10,167.90,1303.20,7531.30,229.30,6438.90,427.80,3004.70,2765.20,6142.50,1480.00,1260.00,2670.50
345,849.42,966.11,440.30,87.40,422.00,1776.10,1411.80,178.50,1047.20,8104.30,232.10,6417.90,457.00,2998.30,3310.60,6125.60,1474.00,1245.30,2659.00
346,849.55,967.97,475.70,89.10,529.30,1947.60,1539.00,174.20,884.40,8438.40,230.60,6373.60,492.50,3045.30,4252.00,6146.50,1486.40,1274.70,2639.20
347,849.69,969.83,515.10,98.50,687.50,2034.60,1682.80,175.50,748.00,8370.90,233.90,6317.50,519.00,3070.20,5698.10,6099.40,1476.20,1268.40,2642.40
348,849.82,971.69,543.10,107.90,937.10,2108.90,1836.80,181.50,675.80,8027.10,235.30,6267.00,546.70,3051.00,7599.40,6128.90,1486.30,1264.60,2655.00
349,849.96,973.55,569.40,127.70,1304.60,2171.60,1929.20,187.30,596.90,7360.40,245.10,6187.80,558.50,3043.40,9515.20,6118.40,1488.60,1268.80,2669.20
350,850.09,975.41,597.10,141.60,1862.20,2201.20,1958.10,179.20,543.70,6752.40,235.90,6175.30,605.20,3034.90,11143.70,6182.40,1515.70,1267.80,2701.90
351,850.23,977.26,630.30,148.10,2545.30,2153.30,1928.00,180.50,511.00,6246.10,245.20,6156.20,649.70,3022.50,11764.80,6253.30,1570.20,1272.60,2699.10
352,850.36,979.12,669.70,162.60,3409.70,1960.70,1840.50,194.20,468.20,5890.10,252.60,6124.30,675.20,2977.70,11387.80,6331.50,1650.70,1283.20,2682.90
353,850.49,980.97,750.50,182.50,4395.50,1632.80,1728.40,199.20,430.50,5735.90,257.50,6098.00,725.70,2936.90,10007.50,6440.20,1721.00,1271.40,2749.90
354,850.63,982.82,894.70,199.00,6150.00,1239.40,1586.30,198.00,408.60,5632.10,250.40,6109.80,768.10,2929.00,8164.60,6652.70,1865.50,1262.40,2774.10
355,850.76,984.68,1130.20,228.40,9990.90,917.00,1472.20,195.70,386.70,5591.10,251.70,6119.70,832.10,2903.50,6276.70,6880.70,2087.20,1299.70,2822.50
356,850.90,986.53,1464.80,250.80,16747.80,729.80,1385.10,204.50,356.30,5591.10,239.60,6170.00,884.40,2886.60,4727.30,7154.60,2298.10,1303.80,2920.70
357,851.03,988.38,1809.90,276.40,24332.80,636.50,1321.60,217.50,349.40,5589.20,238.00,6168.40,971.20,2850.20,3670.80,7379.60,2463.70,1283.00,2959.90
358,851.16,990.23,2238.20,309.60,29988.30,595.80,1288.80,214.40,324.20,5585.10,228.90,6226.90,1064.80,2853.40,3021.10,7569.30,2621.40,1287.50,2969.90
359,851.30,992.07,2939.50,349.40,32148.50,558.30,1249.50,210.80,302.40,5624.80,213.50,6270.60,1160.70,2847.20,2670.80,7669.40,2688.00,1294.20,3044.00
360,851.43,993.92,4553.70,391.30,30173.30,521.10,1236.00,230.90,282.00,5672.50,217.10,6323.10,1286.80,2857.10,2436.60,7669.10,2670.10,1319.90,3088.40
361,851.56,995.77,8507.80,444.60,24124.80,476.70,1243.10,227.90,270.30,5714.90,208.90,6393.80,1433.20,2859.80,2340.20,7639.70,2635.10,1309.90,3152.60
362,851.70,997.61,15583.50,498.30,16233.40,433.50,1251.30,245.10,263.40,5770.40,206.40,6478.40,1618.90,2908.30,2240.40,7695.30,2640.60,1306.70,3219.90
363,851.83,999.46,23403.10,566.40,9517.70,404.50,1265.40,250.70,253.50,5862.20,211.10,6558.70,1851.90,2940.40,2205.30,7796.10,2692.90,1327.30,3280.50
364,851.97,1001.30,28949.40,652.30,5355.90,385.90,1286.20,262.40,252.40,5952.00,208.40,6616.30,2088.80,2974.20,2184.80,8058.10,2894.10,1330.80,3407.30
365,852.10,1003.14,30569.30,754.70,3175.20,369.00,1319.80,275.30,228.60,6054.70,207.80,6644.00,2416.20,3022.60,2163.60,8471.00,3166.70,1341.30,3510.10
366,852.23,1004.98,28045.70,862.50,2015.90,361.80,1364.40,283.00,224.90,6175.10,203.20,6731.60,2792.70,3110.30,2164.80,9036.60,3505.80,1332.40,3715.10
367,852.37,1006.82,21439.10,1010.80,1375.00,356.80,1429.10,294.90,221.50,6300.80,209.40,6764.10,3207.00,3136.50,2165.20,9633.20,3970.70,1334.50,3960.30
368,852.50,1008.66,13367.60,1190.50,1001.80,350.90,1560.20,310.90,218.90,6447.00,203.50,6849.50,3700.60,3235.70,2186.90,10332.30,4438.80,1348.10,4203.00
369,852.63,1010.50,6950.80,1422.40,756.60,347.40,1732.10,320.10,213.60,6584.20,209.40,6900.00,4229.20,3316.70,2239.30,10867.50,4798.10,1387.00,4467.70
370,852.77,1012.34,3414.30,1725.20,584.20,346.20,1987.70,351.40,206.00,6748.40,213.70,6969.50,4897.50,3374.30,2298.90,11187.70,5046.70,1403.50,4648.20
371,852.90,1014.17,1941.50,2126.20,457.50,353.90,2290.30,367.90,196.00,6843.90,215.70,7023.80,5634.00,3435.10,2370.10,11199.10,5102.80,1430.70,4859.40
372,853.04,1016.01,1430.70,2629.60,386.60,348.80,2645.40,421.80,192.60,6883.90,218.40,7092.60,6530.60,3502.70,2441.60,10837.80,4823.30,1428.80,4964.90
373,853.17,1017.84,1309.60,3295.50,335.90,348.70,2961.20,484.60,195.20,6850.10,225.20,7166.20,7573.70,3604.60,2578.50,10174.90,4361.60,1452.10,5043.70
374,853.30,1019.68,1468.00,4147.70,307.90,353.20,3192.80,552.70,194.70,6728.30,229.10,7265.50,8814.20,3712.50,2756.90,9483.20,3884.00,1482.00,5076.20
375,853.44,1021.51,2075.80,5136.20,267.20,359.20,3282.80,646.30,186.60,6572.30,230.70,7375.60,10187.00,3798.00,2966.80,8845.40,3466.80,1490.90,5036.30
376,853.57,1023.34,3474.50,6116.90,254.20,381.50,3243.10,733.40,181.60,6373.80,234.70,7479.00,11649.30,3918.60,3256.20,8436.80,3233.40,1505.30,5039.30
377,853.70,1025.17,5577.50,6925.20,242.40,397.60,3047.90,874.20,184.30,6203.10,246.10,7623.20,13111.00,4072.60,3634.80,8427.80,3238.10,1549.70,5039.10
378,853.84,1027.00,7606.90,7339.90,229.70,424.90,2783.90,1060.90,188.10,6134.30,268.90,7733.20,14523.80,4223.60,4092.00,8821.50,3562.30,1548.10,5071.10
379,853.97,1028.83,8808.70,7287.50,218.10,478.30,2458.50,1398.00,184.10,6043.90,261.40,7838.00,15740.60,4350.40,4597.30,9741.00,4325.10,1577.80,5133.00
380,854.10,1030.65,8851.40,6731.20,210.20,544.90,2186.80,2042.90,191.30,6033.90,290.20,7927.90,16721.70,4479.10,5076.70,11287.90,5547.00,1585.70,5222.60
381,854.24,1032.48,7719.40,5881.50,200.50,634.80,1929.90,3355.00,174.80,6029.00,282.50,7986.50,17371.00,4583.40,5555.10,13149.90,7078.30,1619.50,5346.80
382,854.37,1034.31,5658.50,4879.90,193.80,727.50,1781.70,5896.20,187.50,6009.60,317.80,7975.80,17563.70,4659.80,5981.10,15021.50,8598.40,1655.90,5411.80
383,854.50,1036.13,3465.90,3948.60,180.60,828.50,1668.10,10090.30,187.50,6012.90,327.10,7993.10,17312.70,4700.70,6510.70,16455.60,9687.30,1670.20,5517.20
384,854.64,1037.95,1883.40,3148.80,169.90,964.70,1597.50,15301.60,190.60,5994.90,356.50,8010.80,16651.60,4773.10,7231.50,17193.70,10221.00,1698.70,5578.10
385,854.77,1039.77,1303.00,2613.20,159.90,1200.40,1581.70,18834.50,194.40,5968.50,382.50,8013.70,15272.20,4796.60,8409.00,16736.70,9795.90,1719.80,5612.70
386,854.90,1041.60,721.80,2076.80,148.90,1436.40,1565.50,22367.70,198.00,5941.30,408.50,8016.60,13892.00,4820.00,9586.50,16278.80,9370.00,1740.90,5647.10
387,855.03,1043.42,565.80,1729.10,142.10,1764.00,1564.20,22092.50,191.50,5886.60,447.40,8033.50,12091.00,4860.40,10828.30,15157.00,8382.40,1768.90,5669.90
388,855.17,1045.24,477.00,1463.50,135.00,2069.90,1583.60,19043.50,192.30,5864.80,490.50,8066.60,10248.30,4888.40,11847.20,14044.80,7365.80,1794.30,5726.60
389,855.30,1047.05,406.40,1254.40,126.30,2274.70,1624.20,14163.80,206.00,5833.70,555.20,8177.80,8564.90,4976.80,12299.60,13157.20,6582.00,1827.40,5820.20
390,855.43,1048.87,372.40,1102.60,126.00,2319.80,1694.70,9169.40,201.60,5777.70,628.90,8269.00,7020.70,5097.00,12129.60,12436.70,5985.10,1838.70,5872.10
391,855.57,1050.69,322.00,955.80,121.20,2186.00,1775.00,5324.20,209.10,5750.70,736.10,8451.50,5775.30,5192.80,11592.60,11922.90,5517.10,1870.80,6089.80
392,855.70,1052.50,299.70,848.00,120.00,1926.60,1921.30,3049.90,212.50,5711.60,848.70,8672.40,4775.10,5352.40,11058.80,11501.70,5207.20,1887.00,6315.90
393,855.83,1054.32,279.90,748.80,111.20,1597.70,2078.70,1866.40,214.30,5648.20,1010.20,8918.80,4023.00,5517.90,10677.10,11009.20,4820.50,1913.50,6588.40
394,855.96,1056.13,248.80,662.20,111.10,1343.40,2330.60,1286.70,223.00,5647.20,1207.80,9265.40,3464.60,5755.50,10685.80,10582.40,4532.50,1925.40,6958.10
395,856.10,1057.94,233.40,602.90,112.20,1170.10,2654.40,979.60,238.30,5647.20,1442.60,9639.70,3035.70,5970.30,10826.50,10153.90,4281.50,1949.30,7227.40
396,856.23,1059.75,233.70,547.20,106.90,1049.20,3074.40,803.30,248.60,5630.90,1693.80,9963.80,2706.20,6139.00,10866.20,9825.10,4120.20,1963.10,7405.30
397,856.36,1061.56,215.00,500.70,105.20,994.70,3548.90,695.90,255.70,5629.70,1944.90,10315.10,2456.70,6272.40,10622.50,9654.70,4044.90,1977.10,7627.20
398,856.50,1063.37,217.80,455.80,103.10,939.10,4040.30,627.10,264.30,5615.60,2161.00,10528.40,2282.40,6331.00,10073.30,9691.80,4087.50,2020.50,7595.80
399,856.63,1065.18,206.00,415.30,108.80,889.20,4492.30,579.00,283.10,5614.80,2300.90,10575.20,2128.60,6282.10,9377.20,9809.80,4208.50,2016.20,7561.90
400,856.76,1066.99,206.90,371.90,98.30,808.10,4869.10,539.70,294.60,5616.50,2310.80,10589.70,2000.80,6225.40,8809.40,10039.90,4327.30,2047.10,7402.40
401,856.89,1068.80,217.60,347.30,104.40,733.00,5145.80,508.10,317.50,5638.90,2215.20,10540.60,1918.50,6137.00,8664.70,10197.80,4432.00,2040.70,7218.80
402,857.03,1070.60,225.00,323.00,113.90,667.10,5247.60,473.00,321.40,5623.40,2007.10,10594.30,1858.00,6072.70,9297.80,10395.90,4557.00,2066.50,7030.10
403,857.16,1072.41,238.80,292.70,108.80,595.60,5236.00,432.70,341.80,5664.40,1744.70,10651.30,1794.60,6055.80,10837.10,10601.80,4679.00,2075.50,6800.40
404,857.29,1074.21,255.60,276.10,115.30,554.50,5088.90,402.00,372.70,5677.30,1449.20,10772.20,1768.30,6021.10,13093.90,10842.60,4869.50,2091.50,6677.10
405,857.42,1076.01,274.40,259.70,118.10,528.50,4879.50,387.80,386.60,5725.70,1197.10,10868.00,1735.20,6019.90,15631.70,11172.60,5078.40,2101.90,6473.00
406,857.56,1077.81,298.50,249.70,114.20,516.90,4591.30,367.80,411.10,5743.30,995.10,10849.00,1722.40,5963.30,17978.10,11512.90,5351.10,2130.70,6264.00
407,857.69,1079.61,306.10,232.90,117.30,502.50,4294.20,362.20,455.70,5792.80,820.60,10752.20,1710.10,5855.50,19512.80,11838.20,5611.20,2154.70,6032.20
408,857.82,1081.41,313.30,226.40,117.10,507.90,3962.40,361.10,494.10,5832.50,712.30,10549.80,1712.10,5730.10,20166.60,12193.20,5842.70,2140.10,5806.40
409,857.95,1083.21,302.30,210.70,109.30,512.10,3588.20,343.40,523.60,5832.70,615.50,10185.10,1748.00,5545.10,19619.30,12428.80,6052.60,2137.90,5540.70
410,858.09,1085.01,278.80,213.80,111.00,520.50,3243.40,333.00,574.10,5868.90,553.90,9775.80,1753.90,5329.80,18217.40,12657.70,6203.60,2181.30,5323.20
411,858.22,1086.81,259.20,211.70,105.40,540.30,2931.80,327.90,636.30,5925.10,511.10,9362.90,1782.10,5132.10,16213.40,12688.30,6262.70,2164.60,5111.40
412,858.35,1088.60,239.70,202.80,101.70,579.00,2625.60,326.10,701.20,5992.60,478.50,8905.60,1807.50,4881.40,13832.30,12601.60,6166.40,2131.90,4982.10
413,858.48,1090.40,198.20,200.10,91.40,633.30,2396.40,311.40,774.10,6021.70,447.60,8528.50,1859.60,4667.70,11411.30,12353.20,5994.70,2170.30,4885.90
414,858.61,1092.19,190.50,193.90,91.90,718.10,2214.80,300.20,848.80,6173.00,420.60,8149.10,1912.20,4428.60,9201.30,11974.90,5694.90,2172.70,4854.20
