Integration Time,25
Timestamp,2019-03-04 08_37_33.457000
Note,
Temperature,10.00
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100
Laser Temperature,0.00
Pixel Count,1024

Pixel,Wavelength,Wavenumber,2019-03-04 08:37:33 Toluene 10x25ms Spectrum,2019-03-04 08:37:51 Cyclohexane 10x25ms Spectrum,2019-03-04 08:38:24 Benzene 10x10ms Spectrum,2019-03-04 08:39:05 BMSB 10x5ms Spectrum,2019-03-04 08:39:49 Caffeine 10x50ms Spectrum,2019-03-04 08:40:06 AmmoniumNitrate 10x50ms Spectrum,2019-03-04 08:40:25 Isopropanol 10x50ms Spectrum,2019-03-04 08:40:43 Acetaminophen 10x50ms Spectrum,2019-03-04 08:41:02 Acetone 10x50ms Spectrum,2019-03-04 08:41:36 CoconutOil 10x100ms Spectrum,2019-03-04 08:41:51 Methanol 10x100ms Spectrum,2019-03-04 08:42:09 MineralOil 10x100ms Spectrum,2019-03-04 08:43:30 Fructose 10x300ms Spectrum,2019-03-04 08:43:50 Sugar 10x300ms Spectrum,2019-03-04 08:44:24 Sucrose 10x300ms Spectrum,2019-03-04 08:44:45 AmmoniumChloride 10x300ms Spectrum,2019-03-04 08:46:11 GlucoseSolution 10x1000ms Spectrum
65,810.87,406.43,178.30,190.30,94.80,398.40,1427.20,159.80,446.80,4867.30,422.60,6080.80,113.80,1672.70,5712.30,13027.30,7045.90,2044.50,9524.20
66,811.01,408.57,175.70,220.00,83.00,385.80,1390.50,163.30,481.50,4927.00,367.70,5996.00,112.20,1682.20,6306.70,11424.60,5710.30,2047.90,9564.00
67,811.15,410.70,165.30,250.10,76.60,366.20,1370.40,162.40,519.40,4893.70,328.30,5969.20,115.70,1706.40,7228.60,10303.60,4762.70,2030.30,9680.40
68,811.29,412.83,152.20,314.60,74.50,365.40,1414.90,161.80,571.50,4837.20,303.00,5918.40,112.90,1700.90,8374.10,9726.40,4242.00,2062.80,9918.60
69,811.43,414.96,145.00,397.20,71.60,346.20,1445.20,156.70,638.40,4665.10,278.90,5891.50,114.50,1707.70,9461.40,9460.50,3994.20,2087.30,10157.30
70,811.57,417.09,132.10,529.90,69.20,336.10,1491.90,161.50,718.40,4488.00,263.00,5829.90,112.60,1710.00,10324.80,9180.70,3792.10,2075.60,10474.00
71,811.71,419.22,133.90,681.00,60.30,317.30,1562.80,166.90,810.20,4333.70,250.60,5795.30,110.70,1695.20,10841.70,8832.70,3509.30,2091.90,10719.60
72,811.85,421.35,129.70,849.30,56.60,317.10,1629.70,164.50,888.20,4264.50,237.90,5798.70,114.60,1687.10,11017.20,8449.90,3181.70,2111.90,10920.60
73,811.99,423.48,135.60,940.30,54.40,305.80,1700.60,154.30,966.10,4211.10,227.10,5732.10,110.50,1704.50,10677.30,7918.90,2823.30,2111.60,10891.00
74,812.13,425.61,133.70,974.90,54.10,297.90,1775.70,158.70,1021.60,4213.60,222.50,5736.30,112.70,1683.20,10014.90,7622.50,2570.40,2115.00,10746.60
75,812.27,427.73,129.10,915.40,53.50,297.30,1875.00,149.40,1046.00,4198.00,205.80,5735.70,118.70,1695.80,9093.10,7449.10,2484.20,2129.80,10407.40
