Integration Time,200
Timestamp,2019-03-04 19_36_49.405000
Note,
Temperature,-15.41
CCD C0,535.4879760742188
CCD C1,0.12055999785661697
CCD C2,-1.2115999652451137e-06
CCD C3,-8.375500293311688e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,532.0
Laser Enable,False
Laser Power,100
Laser Temperature,0.00
Pixel Count,1024

Pixel,Wavelength,Wavenumber,2019-03-04 19:36:49 Benzene 1x200ms Spectrum,2019-03-04 19:37:47 BMSB 1x60ms Spectrum,2019-03-04 19:42:13 Toluene 1x500ms Spectrum,2019-03-04 19:42:42 Cyclohexane 1x500ms Spectrum,2019-03-04 19:43:25 Caffeine 1x500ms Spectrum,2019-03-04 19:43:52 AmmoniumNitrate 1x500ms Spectrum,2019-03-04 19:45:29 Isopropanol 1x1s Spectrum,2019-03-04 19:46:51 Acetaminophen 1x500ms Spectrum,2019-03-04 19:47:20 Acetone 1x500ms Spectrum,2019-03-04 19:47:54 Coconut Oil 1x500ms Spectrum,2019-03-04 19:48:54 Methanol 1x1s Spectrum,2019-03-04 19:49:23 Mineral Oil 1x1s Spectrum,2019-03-04 19:50:32 Fructose 1x2s Spectrum,2019-03-04 19:51:30 Sugar 1x1s Spectrum,2019-03-04 19:52:27 Ammonium Chloride 1x2s Spectrum,2019-03-04 19:52:56 Sucrose 1x2s Spectrum,2019-03-04 19:54:30 Glucose Solution 1x5s Spectrum
81,545.24,456.48,293.80,2455.20,15429.00,338.00,7524.00,967.00,1037.00,26323.00,996.00,16916.00,1650.00,1918.00,15757.00,26757.00,11432.00,8913.00,19689.00
82,545.36,460.52,440.40,2600.60,15444.00,340.00,7527.00,972.00,1044.00,26388.00,1002.00,16947.00,1665.00,1942.00,15773.00,26767.00,11951.00,8967.00,19573.00
83,545.48,464.56,757.30,2769.00,15485.00,366.00,7612.00,979.00,1025.00,26432.00,1022.00,17058.00,1616.00,1971.00,15767.00,26836.00,12313.00,8989.00,19359.00
84,545.60,468.60,1021.90,2913.70,15615.00,379.00,7616.00,960.00,1041.00,26618.00,1044.00,17055.00,1652.00,2022.00,15828.00,26880.00,12668.00,8944.00,19151.00
85,545.72,472.63,872.80,2989.00,15601.00,365.00,7623.00,961.00,964.00,26711.00,1046.00,17080.00,1613.00,1976.00,15846.00,26956.00,13164.00,8999.00,18916.00
86,545.84,476.67,624.00,2954.40,15731.00,384.00,7719.00,974.00,968.00,26839.00,1060.00,17136.00,1618.00,2016.00,15913.00,26978.00,13589.00,9004.00,18682.00
87,545.96,480.70,450.00,2843.30,15761.00,393.00,7713.00,985.00,926.00,26856.00,1073.00,17219.00,1610.00,2035.00,15886.00,27043.00,14098.00,9022.00,18563.00
88,546.08,484.73,374.20,2719.20,15901.00,393.00,7702.00,970.00,885.00,27091.00,1061.00,17246.00,1623.00,2062.00,15911.00,27091.00,14610.00,8987.00,18197.00
89,546.20,488.76,358.10,2574.20,16067.00,412.00,7745.00,977.00,860.00,27093.00,1105.00,17310.00,1606.00,2035.00,15952.00,27156.00,15159.00,9041.00,17980.00
90,546.32,492.78,395.00,2474.10,16230.00,412.00,7741.00,964.00,832.00,27222.00,1109.00,17384.00,1610.00,2079.00,16008.00,27267.00,15690.00,8998.00,17819.00
