Integration Time,50,,,,,,,,,,,,,,,,,,
Timestamp,2019-03-04 08_23_13.758000,,,,,,,,,,,,,,,,,,
Note,,,,,,,,,,,,,,,,,,,
Temperature,10.02,,,,,,,,,,,,,,,,,,
CCD C0,801.7174072,,,,,,,,,,,,,,,,,,
CCD C1,0.141220003,,,,,,,,,,,,,,,,,,
CCD C2,-5.61E-06,,,,,,,,,,,,,,,,,,
CCD C3,-8.54E-09,,,,,,,,,,,,,,,,,,
CCD Offset,0,,,,,,,,,,,,,,,,,,
CCD Gain,1.9,,,,,,,,,,,,,,,,,,
Laser Wavelength,785,,,,,,,,,,,,,,,,,,
Laser Enable,FALSE,,,,,,,,,,,,,,,,,,
Laser Power,100,,,,,,,,,,,,,,,,,,
Laser Temperature,0,,,,,,,,,,,,,,,,,,
Pixel Count,1024,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Pixel,Wavelength,Wavenumber,2019-03-04 08:23:13 Toluene 10x50ms Spectrum,2019-03-04 08:23:32 Cyclohexane 10x50ms Spectrum,2019-03-04 08:24:40 Benzene 10x25ms Spectrum,2019-03-04 08:25:43 BMSB 10x5ms Spectrum,2019-03-04 08:26:42 Caffeine 10x100ms Spectrum,2019-03-04 08:26:57 AmmoniumNitrate 10x100ms Spectrum,2019-03-04 08:27:19 Isopropanol 10x100ms Spectrum,2019-03-04 08:27:35 Acetaminophen 10x100ms Spectrum,2019-03-04 08:27:52 Acetone 10x100ms Spectrum,2019-03-04 08:28:31 CoconutOil 10x200ms Spectrum,2019-03-04 08:30:17 Methanol 10x200ms Spectrum,2019-03-04 08:30:36 MineralOil 10x200ms Spectrum,2019-03-04 08:31:32 Fructose 10x500ms Spectrum,2019-03-04 08:31:56 Sugar 10x500ms Spectrum,2019-03-04 08:32:20 GlucoseSolution 10x500ms Spectrum,2019-03-04 08:32:50 Sucrose 10x500ms Spectrum,2019-03-04 08:34:51 AmmoniumChloride 10x500ms Spectrum
42,807.64,357.07,392.2,114,81.7,284.4,2296.3,371.6,445.7,5563.7,437.3,9018.9,255.1,2082.2,2427.6,9533,2642.6,3381.9,2319.8
43,807.78,359.23,310.3,130.1,84.9,291.1,2580.2,374.3,503.1,5569.7,449.2,8952.6,252.1,2082.6,2424.1,9977.8,2633.1,3802.1,2299.3
44,807.92,361.38,272.8,168.9,80.3,304.2,2841.2,378.2,614,5620.1,473.7,8950.1,249.7,2080.3,2425.3,10399.6,2555.2,4140.5,2260.2
45,808.06,363.54,238.9,194.6,88.9,338,3024.5,365.7,735.1,5655.1,484.2,8875,237.7,2071.7,2468.5,10558.9,2541.9,4310.6,2214.8
46,808.2,365.69,222.8,237,86.5,390.7,3141.9,355.5,886.8,5716.4,512.8,8874.3,239.3,2079.6,2532.2,10458.4,2550.9,4237.3,2213.4
47,808.34,367.84,192,286.1,92.8,463.9,3151.4,359,1056.5,5807.1,534.7,8810.8,227.4,2061.6,2563.8,10064.6,2507.9,3915.7,2177.2
48,808.48,370,189.9,369.2,96.1,557.5,3078.2,351.6,1180.2,5915.4,579.5,8800.1,220.8,2074.4,2639.6,9552.3,2529.5,3464.9,2148
49,808.62,372.15,175.9,476.2,100,651.8,2963.2,345.5,1232.4,5991.3,614.8,8796.7,229.9,2118.6,2744,9026.2,2523.7,2987.7,2125.2
50,808.76,374.3,167.1,615.9,97.9,697.8,2837.3,369.4,1208.9,6194.1,686.2,8790.1,204.3,2118.9,2845.1,8623.5,2530.9,2638.8,2084.5
51,808.9,376.45,155.5,775.8,111.9,704.5,2697.9,342.3,1088.7,6440.5,737.7,8789,214.7,2148.6,2994.6,8386,2585.8,2450.6,2026.7
52,809.04,378.59,167.9,949.5,118.6,658.2,2622.1,358.4,971.4,6892.6,837.5,8794.3,210.1,2132.8,3160.9,8309.1,2628.8,2359.9,2020.5
53,809.19,380.74,156.3,1063.6,120.1,577.5,2654.5,341.2,820.5,7646.9,951.2,8834.8,210.7,2167.7,3369.7,8341.7,2629.4,2377.2,1960.6
54,809.33,382.89,164.1,1110.3,124.2,499.9,2788,339.4,720.4,8946,1063.5,8894.1,195.3,2168.3,3625.5,8536.1,2674.6,2522.5,1947.2
55,809.47,385.03,162.3,1050.4,133,421.3,2965.8,345,634.4,10480.8,1196.5,8899.2,194.1,2197.6,3880.5,8831.4,2699.3,2791.2,1901.7
56,809.61,387.18,169.8,903.8,144.2,377.1,3108.8,342.3,589.7,12008.5,1289.7,8977.5,200.3,2223.6,4169.7,9414.6,2718.8,3266.3,1888.1
57,809.75,389.32,165.9,732.7,154.4,349.4,3185.5,336.4,553.3,12913.9,1381.7,9065,180.8,2224.6,4540.2,10461.2,2805,4131.6,1873.5
58,809.89,391.46,182.9,571,169.9,329,3100.2,337.8,537.4,12878.2,1406.8,9158.3,204.1,2270.1,4890.2,12091.3,2903.5,5504.2,1833.2
59,810.03,393.6,196.1,432.3,183.8,311.5,2886.6,333.9,527.5,12007,1375.3,9245.8,195.8,2300.8,5185.3,14399,2983.5,7512.9,1826.3
60,810.17,395.74,211,348.4,186.5,305.9,2614.9,339.4,532.5,10540.9,1283.4,9363,195.3,2326.2,5467.6,17138.1,3096.2,9908.7,1802.6
61,810.31,397.88,224.2,305.2,199.6,296.7,2287.8,331.7,547,8940.3,1156.8,9460,206.7,2379.3,5721.6,19608.8,3209.7,12126.4,1785.1
62,810.45,400.02,243.8,287.2,207.8,299.3,2024.3,327.9,578.1,7735.2,1018.8,9505.8,194.9,2451.7,5908.9,21095.8,3283.7,13398.4,1800
63,810.59,402.16,265.6,275.3,213.6,294,1805.3,323.3,583.1,7039.4,886,9506.3,182.8,2479.1,6087.7,21086,3355.6,13394,1770.1
64,810.73,404.29,266.3,274.9,202.5,286.6,1680.7,328.3,621.1,6823.7,777.2,9561,183.4,2492.3,6278.5,19630.2,3438.6,12171,1763.1
65,810.87,406.43,268.1,292.4,201,284.4,1621,335,660.1,6823,683.6,9521.7,176.1,2541.6,6610.7,17402.8,3466.8,10171.4,1778.5
66,811.01,408.57,260,324.8,184.6,269.1,1573,330.2,714.1,6889.6,601.8,9437.3,177.8,2555.1,7200.2,15043,3483.9,8101.9,1775.2
67,811.15,410.7,254.6,379.1,182.6,267.1,1560.6,325.7,782.4,6880.8,533.5,9367.1,193.1,2564.1,8214.2,13311.9,3546.4,6583.6,1800.9
68,811.29,412.83,245.9,471.2,169.8,258.7,1598,337.5,856,6819,508.6,9289.7,179,2592,9516.1,12426.6,3600,5736,1772.5
69,811.43,414.96,229,608.5,162.2,243.8,1609.4,323,960.1,6591.1,469.1,9216.8,178.5,2597.9,10859.8,11919.2,3746,5305.5,1794.7
70,811.57,417.09,219.2,787.3,151.5,240.5,1660.5,328.2,1074.7,6369,435,9159.5,171.1,2573.6,11910.9,11559.3,3838.8,5020.3,1775.8
71,811.71,419.22,211,1024.7,143.8,231.2,1716.1,312.7,1196,6114.3,408.2,9113,179.9,2573.3,12591.4,11105.7,3920.7,4570.7,1815.4
72,811.85,421.35,200.7,1264.3,139.9,224.1,1790.4,312.8,1328.5,6016.5,375.2,9091,170.3,2543.9,12799.1,10567.5,3995.2,4116.9,1820.7
73,811.99,423.48,199.8,1447.2,135.8,212.2,1845.7,315.4,1445.6,5944.3,371,9059.8,178.4,2563.5,12563,9923.5,4009.7,3612.6,1839.3
74,812.13,425.61,197,1510.8,132.3,209.7,1910.4,314,1559.9,5934.6,355.9,9014,173.6,2576.5,11812.1,9502.2,3963.1,3176.3,1858.2
75,812.27,427.73,195.3,1444.8,114.9,199.5,2010,315,1609.8,5937.9,347.5,8956,184.9,2564.9,10789.1,9250.4,3827.5,2994.9,1870.6
76,812.41,429.86,194.9,1271.1,114,200.2,2169.7,298.7,1631.1,5946.1,328.2,8924.8,164.7,2556,9524.9,9378.9,3732.9,3111.5,1884.9
77,812.55,431.98,201.9,1032.4,115,197.7,2458.7,304,1622.1,5957.2,332.6,8871.9,161.6,2553.7,8147.1,9928,3600.9,3508.7,1906.6
78,812.69,434.11,183.1,775.7,108.9,196.3,2959.9,301.6,1593.1,5975.9,325.9,8835.8,171.3,2563.9,6783.5,10693.5,3543.6,4253,1908.8
79,812.83,436.23,192.2,596.6,106.2,194.7,3718.7,305.3,1546.9,5964.6,316.6,8790.1,162.2,2581.6,5705.1,11811,3538.1,5160.8,1927.6
