Integration Time,100,,,,,,,,,,,,,,,,
Timestamp,2019-02-27 20_32_14.845000,,,,,,,,,,,,,,,,
Note,,,,,,,,,,,,,,,,,
Temperature,-15.35,,,,,,,,,,,,,,,,
CCD C0,784.3300171,,,,,,,,,,,,,,,,
CCD C1,0.281829298,,,,,,,,,,,,,,,,
CCD C2,1.55E-05,,,,,,,,,,,,,,,,
CCD C3,-2.28E-08,,,,,,,,,,,,,,,,
CCD Offset,0,,,,,,,,,,,,,,,,
CCD Gain,1.9,,,,,,,,,,,,,,,,
Laser Wavelength,785,,,,,,,,,,,,,,,,
Laser Enable,FALSE,,,,,,,,,,,,,,,,
Laser Power,100,,,,,,,,,,,,,,,,
Laser Temperature,0,,,,,,,,,,,,,,,,
Pixel Count,1024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Wavelength,2019-02-27 20:32:14 Toluene Spectrum,2019-02-27 20:37:51 Cyclohexane Spectrum,2019-02-27 20:40:21 Benzene Spectrum,2019-02-27 20:43:07 BMSB Spectrum,2019-02-27 20:44:15 Caffeine Spectrum,2019-02-27 20:44:39 Acetaminophen Spectrum,2019-02-27 20:45:00 AmmoniumNitrate Spectrum,2019-02-27 20:45:24 Acetone Spectrum,2019-02-27 20:45:43 Isopropanol Spectrum,2019-02-27 20:47:30 MineralOil Spectrum,2019-02-27 20:47:53 CoconutOil Spectrum,2019-02-27 20:48:12 Methanol Spectrum,2019-02-27 20:49:34 AmmoniumChloride Spectrum,2019-02-27 20:49:56 Fructose Spectrum,2019-02-27 20:50:27 Sugar Spectrum,2019-02-27 20:51:00 Sucrose Spectrum,2019-02-27 20:51:31 GlucoseSolution Spectrum
803.84,95.8,30.4,33.9,2005.1,1911,4980.4,524,344.6,235,2322.8,7774.2,567,2784.4,6313.6,7528.8,2660.6,2157.2
804.13,90.7,28.1,33.4,1779.5,2096.5,5104.5,501.9,343.7,226.3,2288.8,7727,531.2,2788,6230,7483.8,2621.6,2128
804.41,84.2,20.8,21.8,1540.5,2408.2,5227.5,476.4,336.3,229.6,2269.2,7744.4,478,2759.6,6540.2,7844.2,2813.4,2098.4
804.69,86.2,23.4,25.1,1314.2,2689.8,5433,446,329.5,216.3,2231.8,7705.2,457.6,2773.6,6710.8,8111.8,3025.8,2060.6
804.98,86.9,30.9,29.9,1122.9,2669.7,5819.4,433.4,325.8,218,2192.4,7665.6,410.8,2786.2,6423.2,7952.6,2987.4,2041.6
805.26,94.6,37.9,31.8,951.7,2330.3,6682,412.5,320.5,218.5,2140.4,7610.2,379.2,2760.8,6282.2,7088,2431.2,2012.8
805.54,99.6,30.1,32.6,825.3,1968.5,8357.6,398.8,319.2,212.8,2091.6,7537.8,344.6,2732.4,6263.2,6303.4,1874.8,2015.4
805.83,107,30.1,27.9,738.1,1737.7,9450.2,384.2,320,222.5,2065.4,7488.8,317.8,2727,6258.6,5975.4,1684,2045
806.11,136.9,30.1,30.6,683.9,1620.6,8525,362.8,316.3,221.3,2014.8,7450.8,297,2720.4,6359,5928,1643.4,2032.8
806.4,199.6,28.3,27.9,647.4,1566.6,7669.7,360.6,321.8,238.9,1968.2,7391.6,267,2722.4,6666.8,6092,1765,2071.8
806.68,307.2,35.7,34,629.7,1565.3,6584.1,339.1,332.6,256.7,1937.4,7368,260.2,2702.4,7015.4,6407.6,1967.4,2094.2
806.96,357.2,41.3,32.1,622.4,1599,5647.6,337.7,339.5,272.5,1913.2,7355.6,242.6,2660,6773.8,6590.8,2098.2,2107.4
807.25,261.9,45.2,34,620.9,1685,5289.1,319.1,353.9,292.6,1879.4,7313.8,221.8,2642.2,6347.2,6494.4,2027.8,2149.6
807.53,164.6,58.1,45,639.2,1976.5,5153.4,303.4,369.9,335.8,1875.8,7289.6,200,2591.6,6174.8,6442,2038.2,2131
807.82,111.8,64.5,44.5,659.6,2704.1,5158.1,302,389.5,413.2,1873.6,7235,195.8,2546,6171.6,6992.4,2481,2103.8
808.1,89.6,75.5,43.2,704,3446.1,5217.3,297.8,425.1,578.3,1878.6,7158.8,197,2517.6,6211.2,7927.6,3225,2052.2
808.38,76,108,43.2,863.1,3650.5,5328.6,288.7,472.8,896.7,1872.2,7085.4,182.6,2482.2,6291,7600.2,2992.8,2025.2
808.67,73.8,163.2,51.9,1365.3,3462.1,5461.5,268.2,517.4,1141.1,1911.8,7061.8,184.2,2430.4,6414.2,6703.2,2284,2032.2
808.95,60,255.8,55.4,1742.8,3076.2,5706.7,269.4,631.4,991.1,1910.4,7075.4,162,2377.4,6592.8,6206.2,1905.2,2090.6
809.24,63.2,401,61.2,1357.1,2828.3,6305,267,782.4,720,1947.8,7090.4,167.4,2294.2,6828.6,6074,1804.4,2078
809.52,65.1,408.3,76.9,967.4,3145.9,8151.8,257.4,992,555.2,1965.6,7126.8,158.6,2263.8,7254.8,6307.8,1979.2,2130.2
809.8,64.8,258.3,87.3,789.6,3762.7,12138.2,244.3,1186.6,493.5,1999.8,7198.2,159.8,2205.2,7771.8,7043.6,2479.2,2199.6
810.09,70.3,158,101.6,714.7,3441.9,11472.3,237.9,1179.6,470.6,2035.2,7324.2,163.2,2148.6,8293.4,9048.4,3898.6,2293.2
810.37,79.3,119,111.1,670.1,2546.5,7779.9,240.1,964.9,479.3,2091.4,7445.4,142.4,2122,8801.2,13844.8,7381.4,2446.4
810.66,93.1,102.2,120.9,659,1966.3,6201.7,243.2,732,509.2,2151.4,7509.8,141.4,2104.4,9004.2,16651.2,9658,2553.6
810.94,95.5,119.2,116.2,639.7,1719.6,5902.9,237.1,559.7,567.3,2206.8,7423.4,156.2,2080.2,9210.8,12455.6,6541,2624.8
811.22,90.2,143.9,100.1,597.3,1645.3,6332.8,225.1,451.8,663.2,2240.6,7290.4,137.2,2102.2,10097.6,9171.6,4096,2638.6
811.51,80.8,201.3,85.9,559,1676.2,5865.5,216.1,379.7,803.6,2230.2,7142.2,137.8,2106,12552.8,8758.6,3741.4,2758.6
